USERID,Timestamp,Age,Industry,Job title,Salary,Compensation,Currency,Country,State,City,Overall years of experience,Years of experience in current job,Education level,Gender
7571,4/27/2021 11:03:34,35-44,Education (Higher Education),Communications Specialist,60000,0,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman
12074,4/27/2021 11:03:40,35-44,Law,Bookkeeper/Billing Manager,48000,4000,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman
10514,4/27/2021 11:03:44,35-44,Media & Digital,Editor,125000,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
10512,4/27/2021 11:03:46,35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000,USD,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman
8375,4/27/2021 11:03:55,35-44,Education (Higher Education),Senior IRB Analyst,68000,0,USD,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman
9356,4/27/2021 11:03:56,18-24,Media & Digital,Reporter,41000,100,USD,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman
4109,4/27/2021 11:03:57,25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,10000,USD,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman
4171,4/27/2021 11:03:57,35-44,Government and Public Administration,Staff Services Manager II,78000,0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman
7672,4/27/2021 11:04:02,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0,USD,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man
4004,4/27/2021 11:04:04,25-34,Computing or Tech,Intelligence Analyst,110000,20000,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man
2466,4/27/2021 11:04:04,25-34,Nonprofits,Project Manager,66625,1500,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
11777,4/27/2021 11:04:07,35-44,Computing or Tech,Mobile developer,144600,2500,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman
6006,4/27/2021 11:04:11,25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,1000,USD,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman
4384,4/27/2021 11:04:15,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,10000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
4468,4/27/2021 11:04:19,35-44,Computing or Tech,Managed Services Sales Coordinator,72000,3000,USD,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman
6370,4/27/2021 11:04:23,35-44,Engineering or Manufacturing,Water Resources Engineer,106000,0,USD,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman
8772,4/27/2021 11:04:26,25-34,Business or Consulting,Account Supervisor,100500,3000,USD,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman
13378,4/27/2021 11:04:29,65 or over,Property or Construction,Safety Director,104000,25000,USD,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man
3000,4/27/2021 11:04:33,25-34,Education (Higher Education),Research Programmer,70000,0,USD,USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary
7659,4/27/2021 11:04:34,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,8400,USD,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman
4412,4/27/2021 11:04:35,35-44,Health care,AR Manager,53000,0,USD,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman
7593,4/27/2021 11:04:39,25-34,Government and Public Administration,City Research Scientist II,87000,0,USD,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man
2107,4/27/2021 11:04:43,35-44,Nonprofits,Supervisory Archivist,71000,0,USD,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman
11377,4/27/2021 11:04:45,35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,0,USD,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman
9035,4/27/2021 11:04:48,35-44,Education (Higher Education),Manager of Market Research and Data,80000,0,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman
2503,4/27/2021 11:04:55,25-34,Art & Design,Senior UX Designer,90000,1000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman
5993,4/27/2021 11:04:58,35-44,Engineering or Manufacturing,Senior Engineer ,105000,13000,USD,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman
6390,4/27/2021 11:05:01,35-44,Education (Higher Education),Digital Archivist,65000,0,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman
4692,4/27/2021 11:05:02,25-34,Business or Consulting,Associate Program Manager,85000,8500,USD,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman
3584,4/27/2021 11:05:05,25-34,Energy,Fuel Efficiency Program Analyst,76000,0,USD,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman
10143,4/27/2021 11:05:07,25-34,"Accounting, Banking & Finance",Accounting Manager,90000,0,USD,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman
10626,4/27/2021 11:05:07,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,5000,USD,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman
10085,4/27/2021 11:05:08,45-54,Computing or Tech,senior web application developer,98166,0,USD,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man
11420,4/27/2021 11:05:08,25-34,Nonprofits,Program & Administrative Assistant,47700,2000,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
9830,4/27/2021 11:05:08,55-64,Computing or Tech,Chief Engineer,87000,8000,USD,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man
13028,4/27/2021 11:05:14,25-34,Education (Higher Education),Administrative Support Assistant,39635,305,USD,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman
7632,4/27/2021 11:05:17,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,0,USD,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman
9131,4/27/2021 11:05:17,45-54,Engineering or Manufacturing,Senior Device Engineer,150000,20000,USD,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman
4934,4/27/2021 11:05:17,25-34,Hospitality & Events,Graphic Designer,75000,0,USD,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman
4373,4/27/2021 11:05:21,25-34,Computing or Tech,Senior Financial Analyst,107220,16083,USD,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman
12847,4/27/2021 11:05:23,45-54,Education (Higher Education),Professor,95000,10000,USD,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man
3036,4/27/2021 11:05:24,25-34,"Accounting, Banking & Finance",Finance Manager,100000,5000,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman
10300,4/27/2021 11:05:25,35-44,Education (Higher Education),Medical Education Director,119000,2500,USD,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman
9028,4/27/2021 11:05:28,35-44,Education (Higher Education),Assistant Professor of Law,145000,15000,USD,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman
3225,4/27/2021 11:05:33,25-34,"Marketing, Advertising & PR",Content Writer,48000,2000,USD,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman
2603,4/27/2021 11:05:33,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,10000,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman
1212,4/27/2021 11:05:34,35-44,Media & Digital,Digital Marketing Specialist,42000,0,USD,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman
12196,4/27/2021 11:05:36,35-44,Nonprofits,Archivist,54000,100,USD,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman
7449,4/27/2021 11:05:43,55-64,Medical Devices,QC Supervisor,60000,500,USD,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman
10762,4/27/2021 11:05:44,55-64,Nonprofits,Content Development Manager,101500,0,USD,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman
3790,4/27/2021 11:05:45,25-34,Media & Digital,news editor,85000,0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman
9862,4/27/2021 11:05:45,25-34,Education (Higher Education),Senior Administrative Assistant ,62000,0,USD,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman
2844,4/27/2021 11:05:48,25-34,Business or Consulting,"Associate Manager, Education",71000,3000,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
7859,4/27/2021 11:05:49,25-34,public library,Senior Librarian,63000,0,USD,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman
5941,4/27/2021 11:05:49,35-44,Engineering or Manufacturing,Project Estimator,95000,5000,USD,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman
8314,4/27/2021 11:05:52,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,2500,USD,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman
6147,4/27/2021 11:05:52,35-44,Education (Higher Education),Editor,62000,0,USD,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
1618,4/27/2021 11:05:53,25-34,Nonprofits,Program Associate,63000,1000,USD,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman
8164,4/27/2021 11:06:00,45-54,Insurance,Senior Client Service Representative,73000,0,USD,us,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman
8265,4/27/2021 11:06:02,45-54,Health care,Clinical analyst,100000,0,USD,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman
4878,4/27/2021 11:06:02,18-24,Government and Public Administration,Policy Analyst ,60129,3000,USD,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman
8989,4/27/2021 11:06:04,45-54,STEM research,Research Scientist,135000,0,USD,US,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman
10100,4/27/2021 11:06:06,25-34,"Accounting, Banking & Finance",Senior Accountant,60000,0,USD,US,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman
1989,4/27/2021 11:06:06,25-34,Engineering or Manufacturing,User experience specialist,85000,3000,USD,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman
10931,4/27/2021 11:06:07,35-44,Media & Digital,Self-employed writer,45000,20000,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman
11968,4/27/2021 11:06:07,25-34,Nonprofits,Director of Development,92000,0,USD,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
6711,4/27/2021 11:06:07,25-34,Engineering or Manufacturing,Production Technician,65000,4000,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man
2609,4/27/2021 11:06:12,25-34,"Accounting, Banking & Finance",Compliance Officer,74000,1000,USD,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman
9303,4/27/2021 11:06:12,25-34,Engineering or Manufacturing,Director of Intelligence,102500,20000,USD,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man
5157,4/27/2021 11:06:13,45-54,Computing or Tech,Software Development Manager,140000,5000,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman
10934,4/27/2021 11:06:13,35-44,Architecture,Project Architect,58000,4000,USD,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman
7852,4/27/2021 11:06:15,35-44,Nonprofits,HR director,61200,0,USD,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman
1853,4/27/2021 11:06:15,25-34,Recruitment or HR,Talent Acquisition Specialist,66000,0,USD,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman
4749,4/27/2021 11:06:17,35-44,Computing or Tech,technical support specialist,70000,0,USD,USA,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman
2800,4/27/2021 11:06:17,45-54,Property or Construction,CAD Manager,75500,5000,USD,United States of America,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman
9359,4/27/2021 11:06:18,25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,0,USD,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman
3119,4/27/2021 11:06:24,25-34,Academic Medicine ,Administrative Specialist,55000,2500,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man
1998,4/27/2021 11:06:34,25-34,Engineering or Manufacturing,Product Engineer,57000,0,USD,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman
5749,4/27/2021 11:06:35,35-44,Computing or Tech,Senior Technical Writer,83000,8000,USD,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman
4580,4/27/2021 11:06:35,35-44,Nonprofits,Senior Director,90000,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman
5940,4/27/2021 11:06:36,35-44,Hospitality & Events,Hotel Sales Manager,66950,0,USD,USA,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman
9578,4/27/2021 11:06:36,25-34,Government and Public Administration,Planner,76000,0,USD,USA,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman
9261,4/27/2021 11:06:39,25-34,Nonprofits,Information and Program Manager,70000,5000,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman
3439,4/27/2021 11:06:41,35-44,Engineering or Manufacturing,Media and PR,80000,0,USD,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman
5344,4/27/2021 11:06:41,35-44,Nonprofits,Technical assistance provider,70000,0,USD,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
3370,4/27/2021 11:06:44,35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,0,USD,US,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman
5591,4/27/2021 11:06:45,35-44,Hospitality & Events,Director of Client Services,85000,0,USD,United States,New York,New York City,11 - 20 years,5-7 years,College degree,Woman
1248,4/27/2021 11:06:48,35-44,Retail,Loss prevention manager,87000,15000,USD,US,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman
8994,4/27/2021 11:06:50,35-44,Commercial Real Estate ,Administrative Associate,55000,5000,USD,United States,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman
12683,4/27/2021 11:06:51,35-44,Engineering or Manufacturing,Software engineer,139000,9000,USD,United states,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
1648,4/27/2021 11:06:53,25-34,Law,Paralegal / Legal Assistant,54080,500,USD,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman
6261,4/27/2021 11:06:54,45-54,Education (Primary/Secondary),Librarian,70000,1000,USD,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man
6251,4/27/2021 11:06:56,25-34,Nonprofits,Communications Associate,53000,0,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
5683,4/27/2021 11:07:05,35-44,Government and Public Administration,EOS,95000,2000,USD,USA,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman
8151,4/27/2021 11:07:07,35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,7500,USD,United States,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman
4040,4/27/2021 11:07:09,25-34,"Accounting, Banking & Finance",Reporting Analyst ,45760,0,USD,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman
8351,4/27/2021 11:07:10,25-34,"Marketing, Advertising & PR",Communications Manager,86000,0,USD,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman
10939,4/27/2021 11:07:12,25-34,Education (Higher Education),Admissions Advisor,56000,0,USD,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman
2139,4/27/2021 11:07:13,25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,2000,USD,United States,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman
11247,4/27/2021 11:07:14,25-34,Property or Construction,Assistant Project Manager,55000,0,USD,USA ,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman
6335,4/27/2021 11:07:17,45-54,Utilities & Telecommunications,Land Analyst,60320,0,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman
12028,4/27/2021 11:07:17,35-44,Pharmaceuticals,Regulatory affairs manager ,125000,18750,USD,United States,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman
1203,4/27/2021 11:07:19,35-44,Government and Public Administration,Administrative Assistant,49000,0,USD,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman
10231,4/27/2021 11:07:21,35-44,Nonprofits,Director of Development,120000,0,USD,United States of America,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
5913,4/27/2021 11:07:22,35-44,Education (Higher Education),Advancement Accounting Assistant,40575,0,USD,USA,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman
10867,4/27/2021 11:07:23,25-34,Nonprofits,Senior monitoring & evaluation adviser ,75500,0,USD,US,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman
6560,4/27/2021 11:07:23,25-34,"Marketing, Advertising & PR",Copy supervisor,115000,12000,USD,US,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman
9504,4/27/2021 11:07:24,25-34,Computing or Tech,Visual Designer,110000,1400,USD,United States,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman
4852,4/27/2021 11:07:27,55-64,Nonprofits,Information Technology Specialist,47250,0,USD,USA,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman
3566,4/27/2021 11:07:28,35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,4000,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man
7672,4/27/2021 11:07:28,25-34,Philanthropy,Senior Program Support Associate,72000,0,USD,United States,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman
3544,4/27/2021 11:07:32,45-54,Computing or Tech,"IT Manager, Financial Systems",124000,0,USD,US,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman
11201,4/27/2021 11:07:33,45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,0,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man
9676,4/27/2021 11:07:34,35-44,"Accounting, Banking & Finance",Principal Consultant ,110000,5000,USD,US,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman
4368,4/27/2021 11:07:38,25-34,Government and Public Administration,Editor,91000,2000,USD,United States,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman
176,4/27/2021 11:07:38,35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,17550,USD,USA,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman
9850,4/27/2021 11:07:40,35-44,Education (Higher Education),Research administrator ,71697,0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman
11807,4/27/2021 11:07:41,45-54,Real Estate,Senior Property Manager,90000,9000,USD,United States,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman
3528,4/27/2021 11:07:42,25-34,Education (Higher Education),Admin Assistant,52000,0,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary
2305,4/27/2021 11:07:42,35-44,Transport or Logistics,Executive Administrator ,80000,5000,USD,USA,New York,New York ,21 - 30 years,21 - 30 years,High School,Woman
3072,4/27/2021 11:07:43,25-34,Transport or Logistics,HR Business Partner,56000,0,USD,United States,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman
10323,4/27/2021 11:07:44,45-54,Engineering or Manufacturing,Product Support Representative,47840,2000,USD,USA,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man
1419,4/27/2021 11:07:44,45-54,Consulting,Senior Hazard Mitigation Manager,150000,20000,USD,US,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman
9447,4/27/2021 11:07:44,45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,0,USD,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman
12694,4/27/2021 11:07:45,45-54,Environmental Consulting,Senior Consultant,105000,5000,USD,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman
11610,4/27/2021 11:07:45,25-34,"Accounting, Banking & Finance",Equity Analyst,100000,5000,USD,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman
36,4/27/2021 11:07:45,35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,8000,USD,USA,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman
7601,4/27/2021 11:07:46,45-54,Health care,Senior Project Specialist,125000,0,USD,United States,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman
6528,4/27/2021 11:07:47,35-44,Government and Public Administration,Public Library Director,63000,0,USD,USA,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman
7758,4/27/2021 11:07:50,35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,1000,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
13106,4/27/2021 11:07:50,25-34,Museum,Museum Technician,52000,0,USD,United States,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man
10891,4/27/2021 11:07:51,25-34,Government and Public Administration,Economist,109000,3000,USD,U.S.,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman
7075,4/27/2021 11:07:54,45-54,Media & Digital,editor,120000,0,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman
7808,4/27/2021 11:07:56,35-44,Public library,Managing Librarian,70000,2400,USD,United States,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman
7038,4/27/2021 11:07:57,35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,2500,USD,USA,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman
13366,4/27/2021 11:08:01,18-24,"Accounting, Banking & Finance",Accountant ,45000,0,USD,United States ,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman
6940,4/27/2021 11:08:01,35-44,Government and Public Administration,Senior Director of Public Policy,70000,5000,USD,united states,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
123,4/27/2021 11:08:02,25-34,Recruitment or HR,Talent Management Manager,115000,0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man
1338,4/27/2021 11:08:05,55-64,Property or Construction,Accounting Manager,66000,0,USD,USA,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman
6884,4/27/2021 11:08:06,45-54,Engineering or Manufacturing,Quality Manager ,80000,4000,USD,USA,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman
8121,4/27/2021 11:08:06,18-24,Law,Attorney,65000,5000,USD,united states,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman
549,4/27/2021 11:08:07,65 or over,Health care,RN,110000,10000,USD,USA,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman
9244,4/27/2021 11:08:07,35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,114400,0,USD,USA,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman
8804,4/27/2021 11:08:08,25-34,Education (Higher Education),Assistant Director of Undergraduate Admissions,58300,0,USD,US,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman
1329,4/27/2021 11:08:11,45-54,Computing or Tech,Agile Coach,130000,13000,USD,United States,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman
2036,4/27/2021 11:08:13,35-44,Computing or Tech,principle product marketing manager,126000,15000,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
5133,4/27/2021 11:08:13,45-54,Engineering or Manufacturing,Sr. Environmental Manager,125000,3500,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man
1006,4/27/2021 11:08:16,25-34,Nonprofits,Grants coordinator,55000,0,USD,USA,New York,New York ,8 - 10 years,2 - 4 years,Master's degree,Woman
7686,4/27/2021 11:08:16,25-34,"Marketing, Advertising & PR",Account Executive,53500,0,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
11996,4/27/2021 11:08:17,25-34,Nonprofits,Associate Director of Annual Giving,50000,0,USD,United States,Georgia,Atlanta,8 - 10 years,5-7 years,College degree,Woman
1791,4/27/2021 11:08:18,25-34,"Accounting, Banking & Finance",Cash Logistics Manager,57750,5750,USD,United States,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman
3285,4/27/2021 11:08:19,25-34,Nonprofits,Legislative Analyst,65000,0,USD,United States,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman
2765,4/27/2021 11:08:23,25-34,Transport or Logistics,Technology Senior Business Analyst,103000,2000,USD,USA,Texas,Dallas,5-7 years,5-7 years,College degree,Woman
