USERID,CGPA,Salary_month_USD,Special Bonus_GBP
5941,2.250100792,7916.666667,756
8314,3.743553934,4666.666667,1823
6147,2.242980884,5166.666667,2885
1618,3.325074372,5250,1822
8164,3.207052917,6083.333333,2962
8265,3.533588714,8333.333333,3049
4878,2.465007744,5010.75,2742
8989,3.831300795,11250,4819
10100,3.310562796,5000,3423
1989,3.071112316,7083.333333,3221
10931,2.79307763,3750,3298
11968,3.460190012,7666.666667,3508
6711,3.079248752,5416.666667,316
2609,2.846298301,6166.666667,879
9303,2.415814679,8541.666667,1722
5157,3.193965266,11666.66667,2575
10934,3.251741834,4833.333333,2564
7852,3.869146203,5100,4318
1853,3.116731708,5500,2744
4749,3.364431492,5833.333333,1685
2800,3.037733643,6291.666667,1926
9359,2.211006118,4750,9
3119,2.110603845,4583.333333,4222
1998,3.21246181,4750,4952
5749,3.417949665,6916.666667,453
4580,2.241271884,7500,4206
5940,3.25289508,5579.166667,1804
9578,3.434456447,6333.333333,698
9261,2.492336964,5833.333333,2860
3439,2.015956776,6666.666667,4246
5344,3.054791985,5833.333333,4638
3370,3.754491117,4166.666667,457
5591,2.792870444,7083.333333,4946
1248,3.655548147,7250,3000
8994,3.355232639,4583.333333,2811
12683,2.768054912,11583.33333,3776
1648,2.509164338,4506.666667,2130
6261,3.003611805,5833.333333,629
6251,2.118008293,4416.666667,1398
5683,3.980678236,7916.666667,2579
8151,3.291253804,6250,38
4040,3.910498421,3813.333333,3465
8351,3.501082236,7166.666667,4833
10939,3.60009578,4666.666667,3856
2139,3.77744259,5583.333333,3403
11247,3.35749366,4583.333333,206
6335,3.52795564,5026.666667,3902
12028,3.711800719,10416.66667,948
1203,3.193819219,4083.333333,254
10231,2.252081193,10000,1975
5913,2.881241039,3381.25,2256
10867,2.728293586,6291.666667,3242
6560,2.858309051,9583.333333,647
9504,3.369143828,9166.666667,3734
4852,2.710058954,3937.5,360
3566,3.77018185,8000,1283
7672,2.05951476,6000,1282
3544,2.202950967,10333.33333,87
11201,3.710614435,9000,3637
9676,2.334270433,9166.666667,1748
4368,3.522463938,7583.333333,3681
176,2.886847211,9750,1003
9850,2.330814786,5974.75,4102
11807,2.777907341,7500,1783
3528,3.614053721,4333.333333,1759
2305,2.781434193,6666.666667,3804
3072,3.137744046,4666.666667,2118
10323,2.286715466,3986.666667,157
1419,2.942324313,12500,1456
9447,2.893773048,12500,4402
12694,3.010806595,8750,2395
11610,3.246810594,8333.333333,2580
36,3.761090453,8125,2126
7601,2.442905352,10416.66667,290
6528,2.991949309,5250,2948
7758,3.027831325,6583.333333,537
13106,3.916849884,4333.333333,3798
10891,3.385895704,9083.333333,3795
7075,3.933658912,10000,4403
7808,3.991720439,5833.333333,1109
7038,2.945799724,9166.666667,1062
13366,2.21426683,3750,3632
6940,2.035558341,5833.333333,1276
123,3.774654311,9583.333333,2436
1338,3.623556839,5500,679
6884,3.623176396,6666.666667,4415
8121,3.569086324,5416.666667,1724
549,2.096437402,9166.666667,4022
9244,3.639413755,9533.333333,1452
8804,3.950185382,4858.333333,4015
1329,3.503038049,10833.33333,4695
2036,3.831038064,10500,4417
5133,3.605216175,10416.66667,2347
1006,3.104528306,4583.333333,2641
7686,3.699971083,4458.333333,1818
11996,2.861647049,4166.666667,1127
1791,2.464775603,4812.5,3287
3285,3.515353724,5416.666667,2589
2765,3.775709706,8583.333333,3133
12834,3.214803976,5416.666667,1076
9262,2.613191311,6250,623
2365,3.456366508,6041.666667,4569
11908,2.925456835,7166.666667,4006
7995,2.728965502,6250,166
7592,3.141152861,5250,266
4106,2.906171361,3250,2932
8529,2.687840977,8750,1098
6739,3.32071953,6416.666667,1779
8735,3.567689072,4583.333333,3639
8686,3.063134492,5350,878
1368,3.121464377,7666.666667,2297
3540,2.657515661,10416.66667,4155
81,2.471621894,5150,2028
7638,3.19257534,3333.333333,3182
7396,3.173829372,5979.166667,3417
9271,3.250808859,5416.666667,1323
7686,3.270821918,3510,3552
12538,2.177174998,5416.666667,1579
6124,2.802208594,7166.666667,4074
12440,3.624646612,7083.333333,2923
2260,2.540230785,8666.666667,317
4366,2.916818354,7333.333333,603
11676,3.778966612,5416.666667,2499
12177,2.628225746,11166.66667,3384
8534,2.063702197,8208.333333,2467
1703,3.439683216,9333.333333,3431
7327,2.068429722,5000,3922
4534,2.205571257,4750,1553
11934,3.721158034,4250,856
7158,2.67020224,4666.666667,4026
6339,3.801743965,3250,2751
3383,3.364768087,3333.333333,1403
10504,3.720620766,5666.666667,4575
12815,3.760499884,5416.666667,2990
2972,2.550639435,5583.333333,3243
896,3.660199522,10500,3065
5506,2.30558358,12166.66667,2689
1020,2.430753176,8333.333333,2105
4874,3.411149145,4333.333333,4172
2724,2.811510933,11250,3642
7069,3.456783119,10916.66667,165
13123,3.417174763,5333.333333,3212
8612,2.221160971,4083.333333,3740
6825,2.596179466,3233.333333,2636
4968,3.755608841,4166.666667,3430
7048,3.667863185,6666.666667,1809
13305,2.269157631,8750,401
5627,2.812844784,10000,2312
9854,2.933258127,7500,1524
7118,2.158267846,5000,4328
3547,3.386041662,6833.333333,4302
2769,2.329843109,6958.333333,4092
1373,3.430964415,8958.333333,1282
4870,2.934724895,5416.666667,3734
2526,3.951765736,11666.66667,3322
3982,3.657095377,6666.666667,1794
6332,2.385685629,4900,2481
13346,2.123543693,8583.333333,4716
3875,3.087561981,6666.666667,4346
649,2.966377971,5567.083333,999
71,2.58574471,7500,1988
4803,2.885375355,9750,2884
13002,3.088074044,3750,3502
2653,3.382586505,4500,1311
8041,3.852929856,4833.333333,2466
2272,2.812266663,8500,3152
6290,3.562348626,6008.333333,1033
3796,2.737594999,6500,4214
2928,2.301757982,4166.666667,1384
3781,3.914559459,12083.33333,1314
8897,3.224907741,8333.333333,2148
1009,3.585611658,5400,855
2846,3.421998313,5883.333333,1824
4766,3.486959631,6250,3930
10160,2.161512513,3986.666667,4494
2214,3.013302106,7666.666667,701
12350,3.202929164,3326.416667,4392
12921,2.772301171,4416.666667,3632
1686,2.714485516,4491.25,1002
3128,2.743878671,6333.333333,151
11980,3.664990177,9583.333333,2734
7748,3.370293863,6000,3969
12821,3.311496703,5950,1652
9402,2.493061544,5333.333333,4066
4482,2.199986129,4416.666667,2192
10416,3.079605371,6000,695
4299,2.493173742,10000,1480
2247,2.08418261,8625,472
6888,3.230686548,11583.33333,4449
7830,2.111968992,3175.833333,479
2288,3.021387733,7500,4882
4548,2.486434228,9750,2069
2642,3.146933639,8333.333333,4288
12760,2.925575077,4333.333333,3482
9444,3.681151495,3333.333333,1785
5356,3.461901726,5041.666667,3303
13260,2.892828542,7250,2655
8657,3.881271638,7416.666667,1803
6726,2.612375093,5833.333333,4029
2902,3.174338364,6000,201
1515,3.296252547,6533.333333,2856
12618,3.79707741,4166.666667,1991
37,2.320659486,6083.333333,4537
3749,2.348541926,7500,1762
12548,3.483158059,9833.333333,3829
12147,3.416500129,6666.666667,239
3571,3.615056928,8916.666667,742
9571,2.521230245,9916.666667,4064
1651,3.586418578,5575,3976
1291,3.778829206,4833.333333,4496
8892,3.392157837,5416.666667,2968
55,3.774300137,4333.333333,4787
5606,2.986123181,11666.66667,670
10316,3.2290348,6666.666667,4503
7200,3.605294399,3731.416667,2776
6776,3.880817601,7916.666667,851
13281,3.906733024,5833.333333,1532
1210,2.711196275,5750,2378
8174,3.138182347,7854.75,3546
1628,3.867665136,3333.333333,4831
9638,3.677058647,7416.666667,1643
8158,2.534454713,5416.666667,339
5476,3.950190082,8750,1225
976,3.189267362,10500,14
12235,2.410667633,8916.666667,4668
6549,3.492911381,4583.333333,1584
9725,3.402913497,4250,158
12392,2.193395485,3333.333333,3427
3714,2.335198545,5416.666667,928
11306,2.32427483,7583.333333,3758
7424,2.280223003,4333.333333,4167
37,3.082901252,9286.083333,4742
7632,2.255512935,12000,367
6786,2.129844775,5570,1543
5337,2.964078875,7583.333333,2999
1791,3.409616659,10000,4412
10198,3.748757216,5595.833333,744
2153,2.585941236,7083.333333,3420
806,3.090942866,4416.666667,499
7375,3.723708958,6875,843
8675,3.455901675,9166.666667,959
757,3.500498763,5958.333333,1880
12452,3.449413129,6666.666667,2361
1312,3.573994368,9083.333333,804
4138,2.931907546,4500,97
12248,3.101156406,7750,797
12894,2.328166597,4250,1734
323,3.05243005,6000,1771
4060,2.037612612,7833.333333,4404
3425,2.761646131,4400,4487
2052,2.668083235,5416.666667,3921
2791,2.523153217,9166.666667,1829
5317,3.544034938,7295.833333,3870
11704,3.653948102,4583.333333,790
9788,3.302450265,3833.333333,606
12182,2.992638886,3216.666667,2444
281,2.405553142,4791.666667,4780
10478,3.636575758,10625,3082
159,2.544154837,7800,4706
3287,3.013856583,5576.083333,3063
4944,2.869378598,6750,2578
5858,3.108372154,4875,2068
4969,3.667265437,5833.333333,957
8112,3.115607734,6166.666667,1693
1788,2.964289986,6250,2386
6597,3.317396485,4708.333333,4225
13077,2.772410178,5484.833333,4294
9204,2.359932421,11128.33333,604
12827,3.127186109,3291.666667,1336
5507,3.856182734,6666.666667,4097
7104,3.50801371,6958.333333,862
9054,2.820690168,5500,3606
11163,3.460267268,7418.666667,820
4396,3.702739436,6500,691
762,3.984811242,3500,1222
10602,3.945490663,3666.666667,4579
5072,2.204525745,4166.666667,597
7271,3.20381392,6933.333333,1478
4713,3.309442012,6000,3003
3460,3.32985868,6250,2627
1314,2.898030458,7083.333333,906
10444,2.470002099,9416.666667,470
390,3.797127567,4127,4061
5773,3.407838112,4583.333333,2126
5114,2.385958507,9416.666667,4413
1294,3.284180373,7000,1312
2401,3.140405272,6766.666667,320
6786,3.446182755,9583.333333,2777
2285,3.696624773,10000,4036
10203,2.677995121,5520.833333,4694
2940,2.178549257,10333.33333,4817
3712,2.069076687,9583.333333,4788
3949,3.292327716,4500,489
8800,2.235516694,7500,4590
3440,2.096022871,4083.333333,3224
8302,2.169303588,5942.416667,1313
508,3.541313902,10833.33333,842
6297,2.533665767,5639.583333,200
9168,2.377513523,6416.666667,3773
6959,2.362253274,5416.666667,4505
391,3.058111765,7583.333333,883
6348,3.095816376,5916.666667,4279
4583,3.612811402,8750,1514
8330,3.367034726,6358.5,3134
2009,2.639449594,4250,3007
1224,2.216274623,7500,3599
6667,2.865041168,9166.666667,4272
7224,2.564052616,6000,3696
7366,3.574642003,5500,2588
7728,2.1674876,6000,3153
369,3.320025987,5833.333333,1783
6342,3.511657375,4833.333333,1642
12792,3.328620421,5333.333333,3465
1786,2.671816307,3416.666667,4488
7557,2.382162075,6666.666667,1220
4144,3.492640052,4416.666667,3335
9216,2.46796913,8333.333333,4852
7843,3.731433296,3250,290
275,3.989627815,6124.583333,824
6035,3.105358392,7416.666667,2369
6939,2.514046747,3583.333333,2172
5987,2.747257199,3666.666667,3985
8730,3.201663333,5583.333333,4555
12126,2.975570724,5225,2994
6220,3.346066069,5833.333333,3312
5973,2.897640653,7500,1562
6188,2.46913514,6083.333333,4384
5602,3.117571563,5416.666667,4507
1652,2.303794512,5916.666667,3139
11622,2.548859162,4833.333333,3601
7018,2.061975042,5833.333333,1488
5327,2.66236991,4166.666667,4720
833,3.188503575,7807.416667,3507
1194,2.894423606,4333.333333,3143
1957,2.577375374,5791.666667,320
4342,3.111486959,4583.333333,1874
4629,2.756192756,9000,2980
5342,3.37175903,8083.333333,3486
7982,3.975098951,4875,3424
10283,2.258245738,3916.666667,362
909,3.986694258,9166.666667,1624
4800,3.59124298,3500,1790
4072,2.462902307,5833.333333,4049
9320,3.087513196,6875,2734
1849,3.011764558,10666.66667,4724
10911,2.040527197,7291.666667,2950
5211,3.771092693,6458.333333,2972
9701,2.638688844,12583.33333,1056
189,3.800301243,9208.333333,1455
8230,2.559801315,10833.33333,2522
7138,3.40465137,3916.666667,441
6508,3.87811699,5333.333333,3863
6792,2.152408709,7500,2294
9019,3.529955653,7500,1006
1388,3.159543514,4983.333333,3561
9352,2.706683603,3500,1527
9108,3.372645808,5000,406
8989,2.118843934,7583.333333,1081
6198,2.229967223,6066.666667,934
5232,3.884810869,5000,2519
818,2.401928606,9500,1021
9659,3.676566946,4416.666667,1846
6564,2.491106304,6341.666667,584
7711,3.674767109,5166.666667,1199
4155,3.712442369,7175,11
6847,2.225988641,5983.333333,2046
3109,3.153352227,5833.333333,3086
2969,2.747361776,4689.25,4238
3958,2.660300952,7500,3787
9043,3.295725786,5833.333333,411
13086,2.714300626,3482.25,2540
12591,3.53266242,8666.666667,3667
4288,3.993600969,5000,1164
9788,2.134777072,6250,3877
1994,2.692002096,6666.666667,2654
4189,2.226037832,12185,2566
1789,2.06141063,10416.66667,1334
5998,3.237607482,8230.416667,3870
6817,2.168199513,6000,1510
3652,3.47396738,11071.66667,4001
12798,3.552446072,10833.33333,4859
11761,2.115972173,7498.333333,311
10812,3.562436294,9504.916667,3082
2521,3.156524755,4000,4354
3859,3.763499096,3350.5,214
8655,2.750042214,9833.333333,1341
9204,3.083550102,10500,542
12819,3.541923368,9916.666667,3734
12908,3.089662566,4916.666667,2620
6372,3.122419843,5333.333333,2264
7874,3.820702083,3625,2557
12341,3.05611617,5000,1347
7458,3.241738489,6916.666667,4311
7550,2.543732665,4125,1021
13252,2.692190686,7500,4804
12563,2.981496147,6083.333333,249
5256,2.884669686,10666.66667,3937
6987,2.029813194,8666.666667,240
3239,3.722611979,8208.333333,642
12183,2.456663782,9500,3178
1069,2.851983938,6916.666667,4812
8623,2.226564357,4343.75,4860
12658,2.163771171,10683.58333,3802
10044,3.987958789,4823.25,4255
7527,2.595136563,5416.666667,3615
11876,3.550831935,12500,4108
3338,2.139820013,4458.333333,3586
6555,2.371096688,5494.666667,3701
3585,2.211911852,6833.333333,3778
6793,3.19228229,4666.666667,1570
1509,2.634083288,8166.666667,2896
4386,3.256700393,7500,3342
13374,2.695649172,3333.333333,4869
12731,3.15984171,3333.333333,1532
804,3.528073603,4666.666667,3375
10150,2.658720393,9666.666667,4012
8871,2.133536755,7816.666667,4535
3310,2.94361324,3750,2030
349,2.881918428,8583.333333,1278
8670,3.388211917,7666.666667,3006
10482,2.040925257,5833.333333,3129
11675,2.429470275,4250,1942
1823,2.273173485,5404.5,1279
3116,3.421106913,6887.5,2854
10368,2.580640316,5000,2942
13174,3.576685402,8541.666667,3527
7343,3.747563673,4250,2864
6328,2.184736907,8333.333333,3424
5946,3.172804303,4416.666667,1831
1904,2.804771994,7916.666667,4187
6992,3.64952474,6833.333333,4001
4233,3.585340006,5500,4377
9297,2.332471614,4458.333333,1573
12829,3.81973579,7583.333333,4725
7033,3.570188863,4316.333333,4141
8926,3.603457935,3333.333333,1761
5520,2.930283027,8333.333333,2891
9968,2.070742554,4166.666667,4854
11857,2.011115268,10000,1205
11569,2.264446189,11700,4654
12084,2.987539987,6666.666667,2447
4277,2.569680667,3833.333333,4401
4594,3.122831485,7916.666667,4810
9196,3.309920105,4583.333333,3393
5352,3.980094657,4166.666667,88
11544,2.128699122,5416.666667,132
10546,2.308322932,8583.333333,3760
3206,3.894376322,6750,2903
1868,3.398551937,7943.75,2963
2694,2.643152374,9166.666667,2555
13299,3.59702572,3991.833333,4252
10209,2.817558742,8416.666667,3254
1511,2.948835669,6933.333333,3011
4244,3.693727326,4083.333333,3346
3234,3.640262318,6500,3420
4015,2.181446366,8083.333333,219
4502,2.182991556,5208.333333,487
9834,3.006809631,8916.666667,2562
1993,2.469270897,7750,3211
11500,3.907786953,5000,2310
11939,3.226958228,6250,2956
663,2.962355831,4666.666667,4656
11728,2.443250416,6183.333333,1733
3189,3.337843507,5000,4865
5965,3.944244301,4916.666667,1484
5628,2.427563611,9583.333333,875
11690,3.67694887,12500,3403
10905,3.579648644,5666.666667,1275
10430,2.245949448,4077.083333,2614
2947,3.805382498,4849.583333,743
789,3.508423416,9863.333333,2575
3937,3.168772984,5425,4888
7452,2.787591606,6250,2168
10514,3.674273851,8750,2486
7663,2.599433198,5000,827
5504,3.291907962,8000,2049
4634,2.237510108,4166.666667,881
5012,2.809033224,4862,3985
3981,2.311127395,4166.666667,3725
822,2.545007248,10000,4609
11986,3.175007939,5833.333333,3222
11130,2.770857923,7500,4351
5011,2.46449116,5333.333333,2113
8071,3.78120194,5750,1183
7289,3.498224837,4583.333333,317
6368,2.69094454,6250,4615
6322,3.257597757,6435.833333,1382
6107,3.94025416,5416.666667,1602
7732,3.500996582,5447,2885
5652,3.092651163,5666.666667,104
7320,3.620641439,9000,1273
2522,3.781896126,6000,792
445,2.293088198,3750,1874
8383,3.918420178,3333.333333,1683
6766,2.67525833,5833.333333,4187
1192,3.64389523,7500,19
7776,3.017165815,6000,809
9523,3.506670064,8750,782
489,3.319292872,9833.333333,1643
11680,2.878284575,6175,2829
10194,3.361970292,7000,4680
6726,2.899053483,8333.333333,971
3310,3.811427502,6666.666667,2700
11664,3.748597308,3729.166667,944
6053,3.921774642,5750,3024
749,3.370044762,6354.166667,240
12527,2.604214884,4916.666667,1177
7679,2.60568516,5208.333333,2167
6628,3.384163173,6250,3559
4802,3.366783626,3333.333333,4665
3938,3.351060261,6037.5,2522
12037,2.913570833,5416.666667,3907
10383,2.95659622,5916.666667,4167
10176,3.45089037,7366.666667,2715
8010,3.053102703,4250,373
11661,2.48744059,6666.666667,4519
4459,2.095690307,7083.333333,4232
1056,2.545668667,5416.666667,73
11434,2.148343712,5583.333333,849
9755,3.655811608,5833.333333,1276
12411,2.616647415,5166.666667,4066
2764,2.312873743,9166.666667,2453
9906,3.155427675,4416.666667,3112
8787,3.280539217,7083.333333,1990
5187,2.184127716,7500,1483
7194,2.261019281,7500,305
1460,2.391906826,7708.333333,1928
7001,2.770698999,11250,78
12056,2.229419752,4038.666667,3622
4391,3.172825317,6166.666667,251
11994,2.416805294,6083.333333,2043
11210,3.427389094,3833.333333,3655
7208,3.7432178,7416.666667,4630
5502,3.678770872,10000,4217
10634,2.859444057,10000,1682
13039,3.255184909,8166.666667,1345
2839,2.976044583,3250,4209
10120,2.608714516,7295.833333,1849
9384,2.275605156,5666.666667,3157
9285,2.331229109,9833.333333,625
11544,3.199720476,6416.666667,3092
7735,3.27652035,3500,3168
5284,3.31084601,6333.333333,1693
11051,2.371777168,6141.666667,3563
12544,2.590802958,12614.5,4570
9961,3.68841748,12166.66667,78
8677,2.706348357,6250,3653
2748,3.255828668,10000,1166
3058,2.570591695,7916.666667,4446
4429,3.049878774,4583.333333,4103
9089,3.742840711,6250,580
664,3.783312127,7500,1690
4753,2.282479502,7596.25,4399
11218,3.757105445,5250,767
2176,3.72543421,7908,1327
12665,2.235068025,8541.666667,348
11280,2.401736452,3808.333333,2522
2088,3.883892058,9666.666667,1791
11124,2.387215457,5833.333333,2623
3991,3.074698952,10833.33333,1237
12385,2.946757667,5699.333333,1645
8509,2.854648199,7750,1430
1634,3.554440455,8916.666667,2399
11327,3.929175572,5083.333333,4982
12485,3.926090109,4833.333333,879
1504,3.511282184,7862.5,4556
12306,2.318823145,4416.666667,4212
8294,2.131578031,3250,1356
11268,3.732952071,12500,1190
7311,2.471224477,6333.333333,2821
2414,3.798006059,5833.333333,3498
13380,2.230284079,7750,1211
9378,2.72531849,4500,4548
6501,3.172908458,10416.66667,4188
4104,2.392132671,5083.333333,56
6168,2.825079662,9573.75,2657
2384,3.408661276,9791.666667,809
9830,2.467301328,3772.583333,4040
11406,3.190474958,8500,2700
6941,3.878005727,5893.333333,4100
2886,2.877813466,8416.666667,4046
12879,2.310010491,6250,4835
12300,3.913159891,5833.333333,96
10566,3.195050394,5500,4458
2979,2.475124672,8583.333333,3929
4428,2.565614856,5750,4740
4798,2.427632344,5833.333333,4122
915,2.527766397,3666.666667,1356
5710,2.822658465,10541.66667,4860
9013,2.161307458,6372.916667,4140
5681,3.375136024,5208.333333,4400
12063,2.2889104,7221.833333,3317
10236,2.516743288,3833.333333,2095
4923,2.37769285,5500,805
9530,3.942585414,5026.666667,906
1079,2.856356074,4166.666667,843
13222,3.380255787,8000,1321
4597,2.293369717,5208.333333,4377
6551,3.117321806,6000,4341
12140,2.913108566,12270,893
10308,3.07500231,10833.33333,4465
4496,3.560627844,4625,3458
5572,3.818634012,8916.666667,4149
13395,2.749539531,5750,189
914,2.190721353,4250,648
4983,2.138696071,5000,127
953,3.219957261,4974.916667,4183
2891,2.775063393,7916.666667,3369
8427,3.279790385,3333.333333,4349
9903,2.328367979,8750,2815
3913,2.932522479,5750,729
13351,2.640959895,7166.666667,1575
7703,2.570113414,4833.333333,2521
9762,3.833291401,3208.333333,1280
249,3.589157367,7500,3178
2613,3.495593751,6166.666667,1970
820,2.069814339,3416.666667,3485
922,2.847569901,3333.333333,3978
13296,2.442384621,4583.333333,855
11695,2.663213095,12416.66667,129
7581,2.687802781,5000,4969
11617,3.47271588,9333.333333,1695
11213,2.965457629,8042.666667,3045
3114,2.580457207,6250,606
6683,2.312240056,8250,499
9255,3.744571213,3500,2968
567,2.994690979,6083.333333,4457
7348,2.881143733,4166.666667,1835
11731,3.87564762,6041.666667,2031
12538,3.705741566,6441.666667,4230
992,2.24012965,5416.666667,2337
359,2.375507365,5833.333333,426
8585,3.901936079,5416.666667,4766
1874,2.160607995,7966.666667,3743
9829,2.232940207,4166.666667,1403
5373,2.032894716,5833.333333,500
8401,2.013543654,3541.666667,2904
7163,2.314063948,6333.333333,1888
11661,3.032022517,12333.33333,3236
1857,3.591339119,10416.66667,3839
9720,3.980298711,12500,3991
539,3.942040923,7833.333333,4153
4711,3.523273136,5416.666667,573
453,3.994418879,5416.666667,1730
8471,3.045834863,4853.333333,2105
10401,3.825022734,6166.666667,4532
3840,2.446487099,5750,355
2431,3.160948383,10083.33333,462
10125,3.88830869,9583.333333,3695
7769,2.521453231,4166.666667,1471
12402,3.667177319,5333.333333,3824
8711,2.914931476,5833.333333,1343
175,3.028482856,3986.666667,637
4745,2.267015435,9166.666667,1144
1660,2.888379203,4416.666667,1235
10352,3.876159372,9333.333333,1404
12206,3.395450165,7750,1562
4999,3.779441662,5000,2836
813,3.269328006,4666.666667,1391
12796,2.969237714,6833.333333,3219
4742,3.790885183,5350,454
12639,3.104689094,8640.833333,2307
5371,2.997220126,6750,1752
2815,3.969581938,6250,2774
9700,3.777281679,10000,896
4657,2.811133762,8991.666667,659
4602,2.178354203,5416.666667,250
212,2.214544388,5333.333333,2307
704,2.461368288,10416.66667,216
6269,3.741078228,4166.666667,721
1610,2.46224041,7093,2694
7961,3.540570332,5000,2335
10274,3.784771154,10000,3018
13377,2.121233308,3166.666667,1647
312,3.705841602,4532.416667,2887
11703,2.961219957,7025,4214
12899,3.822189666,3583.333333,3641
7202,3.84909026,6437.5,3837
10393,2.096650129,7916.666667,4877
10671,3.743723385,6083.333333,2472
11690,2.062664622,8666.666667,3483
3820,2.537184223,6250,1288
4223,3.565383821,8500,318
4894,3.695370807,3750,1288
2533,2.505877787,9583.333333,2389
7024,3.018295419,8583.333333,2874
299,3.753852109,4166.666667,91
8145,3.18729599,4500,4352
7724,3.305155519,5333.333333,4006
8272,3.824972935,7750,730
6985,2.700321742,8333.333333,3011
1108,2.734414129,4583.333333,4319
3268,3.533221932,9166.666667,2693
8804,2.544366345,3449.5,1222
1936,3.968071393,7416.666667,1617
344,2.299835076,4583.333333,4968
13251,3.125236968,4862.5,1149
2802,2.753476803,4500,82
2866,3.65943569,8928.833333,1483
5306,3.414904096,7500,2703
6630,3.448003377,3166.666667,789
8052,3.606800661,5333.333333,1294
5998,3.307632161,9450,210
2728,3.039967142,3958.333333,3177
4915,3.966082492,7625,2537
3504,2.022279875,8583.333333,4486
2768,2.430288986,6875,4528
10495,2.330145151,7500,4853
7677,3.639316309,5916.666667,1960
9670,3.386771472,7083.333333,1048
4155,2.12694861,3750,3657
8287,3.504637506,7916.666667,2098
3936,3.536619148,5000,3154
6563,3.016817408,6166.666667,3966
1816,3.239038607,7291.666667,2187
3672,2.81822086,11960,1787
8635,3.965714736,7833.333333,1343
12524,3.102143471,5625,4751
3539,3.489600403,7798.583333,1490
2680,3.634498763,5250,899
5824,2.090394421,10833.33333,2071
9379,2.752597514,4166.666667,3126
9601,2.864910702,6833.333333,1360
6758,2.106033201,5375,2633
12756,2.740113094,4833.333333,3344
230,3.763462649,7250,4983
11487,3.602752042,3166.666667,2432
3461,3.7770187,8666.666667,1834
10314,2.819733122,5416.666667,1007
6713,3.20788681,6750,1066
603,2.949773723,5568.333333,4252
9524,2.932677316,3833.333333,4657
3528,3.716400988,5000,2053
4295,3.70239795,3500,160
8823,2.247328206,10833.33333,3312
2755,2.902895056,5166.666667,775
7275,3.342759998,11250,2512
1393,3.786713878,5833.333333,2737
877,3.764118941,5833.333333,595
702,2.336273608,8833.333333,2562
5569,2.060514632,4416.666667,2873
12233,2.371361903,12083.33333,1244
12618,2.42903916,4583.333333,4954
8426,3.391206852,8083.333333,1340
9743,3.886940147,6083.333333,3479
11679,3.877055051,5833.333333,3269
12713,3.136759117,6333.333333,2498
6832,3.237195912,4333.333333,4009
1338,2.704042816,9333.333333,4839
12767,3.776381076,8358.333333,2384
9765,2.215158206,3750,1532
4208,3.761559068,6437.5,4012
9129,3.380651925,8750,2541
3330,2.618693789,4333.333333,380
2363,3.705344968,4833.333333,1547
2399,2.349407321,9166.666667,1333
6571,3.076364275,11833.33333,3923
10927,2.867401296,6833.333333,3897
5170,2.355134834,4750,4014
11500,3.886764445,5000,2469
8452,3.908752503,4579.416667,2708
8750,2.287897973,5833.333333,3501
10351,3.088436273,3845.416667,2972
9459,3.110289572,5416.666667,1709
12807,3.423682732,10000,1400
5699,3.660302715,5166.666667,4738
11566,3.411391264,4166.666667,231
7111,3.827624242,4180,4767
